Region,Country,State,City,Month,Day,Year,AvgTemperature,
Europe,United Kingdom,,Belfast,1,1,1995,34.7,1
Europe,United Kingdom,,Belfast,1,2,1995,36.9,0
Europe,United Kingdom,,Belfast,1,3,1995,40,0
Europe,United Kingdom,,Belfast,1,4,1995,46.3,0
Europe,United Kingdom,,Belfast,1,5,1995,48.6,0
Europe,United Kingdom,,Belfast,1,6,1995,40.9,0
Europe,United Kingdom,,Belfast,1,7,1995,51,0
Europe,United Kingdom,,Belfast,1,8,1995,43.4,0
Europe,United Kingdom,,Belfast,1,9,1995,49.5,0
Europe,United Kingdom,,Belfast,1,10,1995,49.1,0
Europe,United Kingdom,,Belfast,1,11,1995,41,0
Europe,United Kingdom,,Belfast,1,12,1995,38.7,0
Europe,United Kingdom,,Belfast,1,13,1995,49,0
Europe,United Kingdom,,Belfast,1,14,1995,47.9,0
Europe,United Kingdom,,Belfast,1,15,1995,49.9,0
Europe,United Kingdom,,Belfast,1,16,1995,44.2,0
Europe,United Kingdom,,Belfast,1,17,1995,43.7,0
Europe,United Kingdom,,Belfast,1,18,1995,39.1,0
Europe,United Kingdom,,Belfast,1,19,1995,36.6,0
Europe,United Kingdom,,Belfast,1,20,1995,38.2,0
Europe,United Kingdom,,Belfast,1,21,1995,41.2,0
Europe,United Kingdom,,Belfast,1,22,1995,36.7,0
Europe,United Kingdom,,Belfast,1,23,1995,43,0
Europe,United Kingdom,,Belfast,1,24,1995,39.9,0
Europe,United Kingdom,,Belfast,1,25,1995,37.2,0
Europe,United Kingdom,,Belfast,1,26,1995,39.1,0
Europe,United Kingdom,,Belfast,1,27,1995,39.6,0
Europe,United Kingdom,,Belfast,1,28,1995,43.9,0
Europe,United Kingdom,,Belfast,1,29,1995,40.9,0
Europe,United Kingdom,,Belfast,1,30,1995,38.5,0
Europe,United Kingdom,,Belfast,1,31,1995,50.1,0
Europe,United Kingdom,,Belfast,2,1,1995,44.2,1
Europe,United Kingdom,,Belfast,2,2,1995,43.1,0
Europe,United Kingdom,,Belfast,2,3,1995,50,0
Europe,United Kingdom,,Belfast,2,4,1995,49.1,0
Europe,United Kingdom,,Belfast,2,5,1995,52.6,0
Europe,United Kingdom,,Belfast,2,6,1995,53.7,0
Europe,United Kingdom,,Belfast,2,7,1995,42.7,0
Europe,United Kingdom,,Belfast,2,8,1995,37.4,0
Europe,United Kingdom,,Belfast,2,9,1995,38.5,0
Europe,United Kingdom,,Belfast,2,10,1995,39.8,0
Europe,United Kingdom,,Belfast,2,11,1995,46.7,0
Europe,United Kingdom,,Belfast,2,12,1995,47.9,0
Europe,United Kingdom,,Belfast,2,13,1995,45.1,0
Europe,United Kingdom,,Belfast,2,14,1995,43.8,0
Europe,United Kingdom,,Belfast,2,15,1995,43.3,0
Europe,United Kingdom,,Belfast,2,16,1995,43.2,0
Europe,United Kingdom,,Belfast,2,17,1995,41.2,0
Europe,United Kingdom,,Belfast,2,18,1995,43.7,0
Europe,United Kingdom,,Belfast,2,19,1995,43.5,0
Europe,United Kingdom,,Belfast,2,20,1995,42.1,0
Europe,United Kingdom,,Belfast,2,21,1995,41.2,0
Europe,United Kingdom,,Belfast,2,22,1995,41.5,0
Europe,United Kingdom,,Belfast,2,23,1995,42.3,0
Europe,United Kingdom,,Belfast,2,24,1995,41.1,0
Europe,United Kingdom,,Belfast,2,25,1995,41.1,0
Europe,United Kingdom,,Belfast,2,26,1995,40.2,0
Europe,United Kingdom,,Belfast,2,27,1995,51.1,0
Europe,United Kingdom,,Belfast,2,28,1995,46.8,0
Europe,United Kingdom,,Belfast,3,1,1995,38.2,1
Europe,United Kingdom,,Belfast,3,2,1995,34.9,0
Europe,United Kingdom,,Belfast,3,3,1995,35.5,0
Europe,United Kingdom,,Belfast,3,4,1995,35.7,0
Europe,United Kingdom,,Belfast,3,5,1995,41.1,0
Europe,United Kingdom,,Belfast,3,6,1995,37.7,0
Europe,United Kingdom,,Belfast,3,7,1995,37.4,0
Europe,United Kingdom,,Belfast,3,8,1995,41.4,0
Europe,United Kingdom,,Belfast,3,9,1995,42,0
Europe,United Kingdom,,Belfast,3,10,1995,48.7,0
Europe,United Kingdom,,Belfast,3,11,1995,47.4,0
Europe,United Kingdom,,Belfast,3,12,1995,47.9,0
Europe,United Kingdom,,Belfast,3,13,1995,52.5,0
Europe,United Kingdom,,Belfast,3,14,1995,42.8,0
Europe,United Kingdom,,Belfast,3,15,1995,37.4,0
Europe,United Kingdom,,Belfast,3,16,1995,43.2,0
Europe,United Kingdom,,Belfast,3,17,1995,40.3,0
Europe,United Kingdom,,Belfast,3,18,1995,40.7,0
Europe,United Kingdom,,Belfast,3,19,1995,41.3,0
Europe,United Kingdom,,Belfast,3,20,1995,41.8,0
Europe,United Kingdom,,Belfast,3,21,1995,46,0
Europe,United Kingdom,,Belfast,3,22,1995,47.4,0
Europe,United Kingdom,,Belfast,3,23,1995,46.6,0
Europe,United Kingdom,,Belfast,3,24,1995,47.9,0
Europe,United Kingdom,,Belfast,3,25,1995,47.1,0
Europe,United Kingdom,,Belfast,3,26,1995,48.9,0
Europe,United Kingdom,,Belfast,3,27,1995,40,0
