,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
1132,12060,5/1/2022,13,Good,CO,2,Atlanta,GA,Georgia,33.7628,-84.422,5151496,1419,America/New_York
1654,12620,5/1/2022,34,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1655,12620,5/2/2022,33,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1656,12620,5/3/2022,38,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1657,12620,5/4/2022,34,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1658,12620,5/5/2022,44,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1659,12620,5/6/2022,46,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1660,12620,5/7/2022,42,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1661,12620,5/8/2022,44,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1662,12620,5/9/2022,54,Moderate,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1663,12620,5/10/2022,46,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1664,12620,5/11/2022,47,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1665,12620,5/12/2022,43,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1666,12620,5/13/2022,29,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1667,12620,5/14/2022,41,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1668,12620,5/15/2022,20,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1669,12620,5/16/2022,30,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1670,12620,5/17/2022,35,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1671,12620,5/18/2022,40,Good,Ozone,2,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
1672,12620,5/19/2022,38,Good,Ozone,1,Bangor,ME,Maine,44.8323,-68.7906,32029,360,America/New_York
