year,month,passengers
2000,January,112
2000,February,118
2000,March,132
2000,April,129
2000,May,121
2000,June,135
2000,July,148
2000,August,148
2000,September,136
2000,October,119
2000,November,104
2000,December,118
2001,January,115
2001,February,126
2001,March,141
2001,April,135
2001,May,125
2001,June,149
2001,July,170
2001,August,170
2001,September,158
2001,October,133
2001,November,114
2001,December,140
2002,January,145
2002,February,150
2002,March,178
2002,April,163
2002,May,172
2002,June,178
2002,July,199
2002,August,199
2002,September,184
2002,October,162
2002,November,146
2002,December,166
2003,January,171
2003,February,180
2003,March,193
2003,April,181
2003,May,183
2003,June,218
2003,July,230
2003,August,242
2003,September,209
2003,October,191
2003,November,172
2003,December,194
2004,January,196
1953,February,196
1953,March,236
1953,April,235
1953,May,229
1953,June,243
1953,July,264
1953,August,272
1953,September,237
1953,October,211
1953,November,180
1953,December,201
1954,January,204
1954,February,188
1954,March,235
1954,April,227
1954,May,234
1954,June,264
1954,July,302
1954,August,293
1954,September,259
1954,October,229
1954,November,203
1954,December,229
1955,January,242
1955,February,233
1955,March,267
1955,April,269
1955,May,270
1955,June,315
1955,July,364
1955,August,347
1955,September,312
1955,October,274
1955,November,237
1955,December,278
1956,January,284
1956,February,277
1956,March,317
1956,April,313
1956,May,318
1956,June,374
1956,July,413
1956,August,405
1956,September,355
1956,October,306
1956,November,271
1956,December,306
1957,January,315
1957,February,301
1957,March,356
1957,April,348
1957,May,355
1957,June,422
1957,July,465
1957,August,467
1957,September,404
1957,October,347
1957,November,305
1957,December,336
1958,January,340
1958,February,318
1958,March,362
1958,April,348
1958,May,363
1958,June,435
1958,July,491
1958,August,505
1958,September,404
1958,October,359
1958,November,310
1958,December,337
1959,January,360
1959,February,342
1959,March,406
1959,April,396
1959,May,420
1959,June,472
1959,July,548
1959,August,559
1959,September,463
1959,October,407
1959,November,362
1959,December,405
1960,January,417
1960,February,391
1960,March,419
1960,April,461
1960,May,472
1960,June,535
1960,July,622
1960,August,606
1960,September,508
1960,October,461
1960,November,390
1960,December,432
