DATE,PRCP,TMAX,TMIN,RAIN
1/1/2017,0.43,37,28,TRUE
1/2/2017,0,34,26,FALSE
1/3/2017,0,33,21,FALSE
1/4/2017,0,36,22,FALSE
1/5/2017,0,35,21,FALSE
1/6/2017,0,40,20,FALSE
1/7/2017,0,37,29,FALSE
1/8/2017,0.45,45,35,TRUE
1/9/2017,0.05,42,34,TRUE
1/10/2017,0.07,40,32,TRUE
1/11/2017,0,34,28,FALSE
1/12/2017,0,40,25,FALSE
1/13/2017,0,37,25,FALSE
1/14/2017,0,44,26,FALSE
1/15/2017,0,43,27,FALSE
1/16/2017,0,45,30,FALSE
1/17/2017,1.74,49,39,TRUE
1/18/2017,1.21,53,44,TRUE
1/19/2017,0.09,50,41,TRUE
1/20/2017,0,52,37,FALSE
1/21/2017,0.05,54,40,TRUE
1/22/2017,0.08,49,37,TRUE
1/23/2017,0,48,34,FALSE
1/24/2017,0,43,31,FALSE
1/25/2017,0,44,35,FALSE
1/26/2017,0,47,41,FALSE
1/27/2017,0,54,37,FALSE
1/28/2017,0,52,37,FALSE
1/29/2017,0.03,48,37,TRUE
1/30/2017,0.02,45,40,TRUE
1/31/2017,0,44,34,FALSE
2/1/2017,0,43,29,FALSE
2/2/2017,0.01,44,32,TRUE
2/3/2017,0.7,40,34,TRUE
2/4/2017,0.94,46,37,TRUE
2/5/2017,0.82,41,33,TRUE
2/6/2017,0.65,37,30,TRUE
2/7/2017,0.01,38,30,TRUE
2/8/2017,0.7,40,34,TRUE
2/9/2017,1.63,56,39,TRUE
2/10/2017,0.02,48,39,TRUE
2/11/2017,0,49,38,FALSE
2/12/2017,0,51,34,FALSE
2/13/2017,0,57,35,FALSE
2/14/2017,0.23,58,36,TRUE
2/15/2017,1.63,54,45,TRUE
2/16/2017,0.5,53,46,TRUE
2/17/2017,0.01,56,42,TRUE
2/18/2017,0.15,45,42,TRUE
2/19/2017,0.06,47,40,TRUE
2/20/2017,0.2,45,40,TRUE
2/21/2017,0.07,48,39,TRUE
2/22/2017,0,46,35,FALSE
2/23/2017,0.01,44,34,TRUE
2/24/2017,0,47,32,FALSE
2/25/2017,0.01,44,32,TRUE
2/26/2017,0.33,41,35,TRUE
2/27/2017,0.16,41,33,TRUE
2/28/2017,0.01,47,33,TRUE
3/1/2017,0.02,49,41,TRUE
3/2/2017,0.09,47,41,TRUE
3/3/2017,0.36,51,39,TRUE
3/4/2017,0.04,46,34,TRUE
3/5/2017,0,45,34,FALSE
3/6/2017,0,43,35,FALSE
3/7/2017,0.75,42,35,TRUE
3/8/2017,0.13,43,37,TRUE
